Area,Area url,Number of apartments in area,Apartment Url,Apartment,Deal,Pet Policy,Number of Units,Pet Rent,Pet Fee,Average Rating,Number of Reviews,Pet Fee Clean,Pet Rent Clean,Biggest Apt Size
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/quebec-house-washington-dc/xy5n62p,Quebec House,Our DC community is nestled against Rock Creek Park & in the heart of Cleveland Park. New move-ins will enjoy 2 months free. Call today to schedule an in-person (with PPE!) or fun virtual tour. Check apartment shopping off your to-do list!* *Offers are subject to change and restrictions do apply; incentives apply to new move-ins only.,"

Dogs and Cats Allowed


•Comments: Pet fee $300.00 and Pet rent $50.00 per month. •55 lb Weight Limit
•1 Pet Limit

",0.0,,,4.0,8 Renter Reviews,,,0
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/highview-castle-manor-washington-dc/m5xtd7h,Highview & Castle Manor,Up to Two Month Free Plus Waived Deposit and Pet Fee,"

Dogs Allowed:


•Restrictions: Breed Restrictions Apply •$50 Monthly Pet Rent
•$500 Fee
•2 Pet Limit

",8.0,•$50 Monthly Pet Rent,•$500 Fee,4.0,2 Renter Reviews,500,50,844
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/park-place-at-petworth-metro-washington-dc/10h4n76,Park Place at Petworth Metro,None,"

Dogs Allowed


•Comments: Breed restrictions apply. •$50 Monthly Pet Rent
•$500 Fee
•90 lb Weight Limit
•2 Pet Limit

",4.0,•$50 Monthly Pet Rent,•$500 Fee,4.9,2 Renter Reviews,500,50,770
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/harvard-village-washington-dc/evrj2lq,Harvard Village,None,"

Dogs Allowed


•Comments: Breed and weight restrictions for dogs. Two pets total allowed in the apartment, monthly pet fees as well as a one-time, non-refundable fee will apply. •$300 Deposit
•$50 Monthly Pet Rent
•75 lb Weight Limit
•2 Pet Limit

",17.0,•$50 Monthly Pet Rent,,4.0,No Reviews,,50,845
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/park-triangle-washington-dc/lrxd40f,Park Triangle,Move in Today & Pay No Rent Until December 2020 on Select Apartments!,"

Dogs Allowed:


•Restrictions: Breed restrictions are as follows :Akitas, Alaskan Malamutes, American Staffordshire Terriers, Bull Terriers, Chow Chows, Doberman Pinschers, Fila Brasilerios, Japanese Tosas, Miniature Bull Terriers, Pit Bulls, Presa Canarios, Rottweilers,  Staffordshire Bull Terriers, Wolf Hybrids, Wild Dogs, or any partial breed dog that has one or more of the previously mentioned breeds in its lineage. •Comments: Up to two pets allowed per apartment. One time non refundable pet fee of $500.00 and $50 pet rent per month. •$500 Deposit
•$50 Monthly Pet Rent
•100 lb Weight Limit
•2 Pet Limit

",4.0,•$50 Monthly Pet Rent,,5.0,1 Renter Reviews,,50,855
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/park-ellison-washington-dc/5dvr6lm,Park Ellison,6 WEEKS FREE! For a limited time only - 6 weeks free on all units! Call or email today for details! New Residents Only.,"

Dogs and Cats Allowed


•2 Pet Limit

",2.0,,,4.0,No Reviews,,,855
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/president-madison-washington-dc/k95fs1c,President Madison,Up to Two Months Plus Free Parking & Waived Deposit and Pet Fee,"

Dogs Allowed:


•Restrictions: Breed Restrictions Apply •$50 Monthly Pet Rent
•$500 Fee
•2 Pet Limit

",2.0,•$50 Monthly Pet Rent,•$500 Fee,4.0,2 Renter Reviews,500,50,701
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/7th-flats-washington-dc/lj6p6kd,7th Flats,Move in by 02/15 and receive 2 months free!,"

Dogs and Cats Allowed:


•Restrictions: We welcome up to 2 pets per home. We accept cats and dogs. There is a pet fee of $500 and pet rent of $50. Please call our leasing office for complete pet policy information. •$50 Monthly Pet Rent
•$500 Fee
•2 Pet Limit

",3.0,•$50 Monthly Pet Rent,•$500 Fee,4.7,21 Renter Reviews,500,50,964
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/the-shawmut-washington-dc/kpyrwkb,The Shawmut,Get up to TWO MONTHS FREE on studio apartments. $100 Security Deposits for a Limited Time *terms and conditions apply. See leasing agent for details*,"

Dogs and Cats Allowed:


•Restrictions: Yes •75 lb Weight Limit
•2 Pet Limit
•Must Be Spayed/Neutered

",0.0,,,4.0,No Reviews,,,0
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/columbia-uptown-washington-dc/hxt25v3,Columbia Uptown,Two Months Free!,"

Dogs Allowed:


•Restrictions: Weight Limit is 70 lbs. No Pure Bred Pit Bulls or Pit Bull Mixes. •Comments: Columbia Uptown loves your pets! Each apartment may have up to (2) pets. Pet fees and pet rent may vary. Please speak to a leasing associate for more information. •45 lb Weight Limit
•2 Pet Limit

",0.0,,,3.9,7 Renter Reviews,,,0
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/paramount-washington-dc/4szpm7l,Paramount,Up to Two Months Free Plus Waived Deposit and Pet Fee,"

Dogs Allowed:


•Restrictions: Breed Restrictions •$50 Monthly Pet Rent
•$500 Fee

",4.0,•$50 Monthly Pet Rent,•$500 Fee,4.0,1 Renter Reviews,500,50,835
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/fitzgerald-washington-dc/22ss2m9,Fitzgerald,"Best. Deal. EVER....Up to *THREE MONTHS FREE!* New year, new home -- what are you waiting for?","

Dogs Allowed


•75 lb Weight Limit
•1 Pet Limit

",12.0,,,4.0,5 Renter Reviews,,,871
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/the-citadel-washington-dc/27tnfrb,The Citadel,None,"

Dogs Allowed


•$50 Monthly Pet Rent
•75 lb Weight Limit
•2 Pet Limit

",5.0,•$50 Monthly Pet Rent,,4.9,2 Renter Reviews,,50,717
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/dorchester-house-washington-dc/dq5n2zj,Dorchester House,None,"

Dogs Allowed:

",44.0,wed:,,3.9,7 Renter Reviews,,,985
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/dorchester-west-apartments-washington-dc/2p6wgy8,Dorchester West Apartments,None,"

Dogs and Cats Allowed:


•Restrictions: Pet-friendly community. $500 flat fee if you have both dog & cat. •Comments: No weight limit for ground floor homes •$500 Deposit
•50 lb Weight Limit
•2 Pet Limit

",1.0,,,5.0,4 Renter Reviews,,,730
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/1630-park-washington-dc/h5018z3,1630 Park,Up to Two Months Free & a $500 Gift Card Plus Waived Deposit and Pet Fee,"

Dogs Allowed:


•Restrictions: Breed Restrictions Apply •Comments: Move in pet fee $150 per dog. Monthly pet fee $50 •$50 Monthly Pet Rent
•$500 Fee
•2 Pet Limit

",3.0,•$50 Monthly Pet Rent,•$500 Fee,4.0,1 Renter Reviews,500,50,731
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/washington-house-washington-dc/2tvesj9,Washington House,None,"

Dogs Allowed:


•Restrictions: 40 pounds maximum weight for dogs. $20 per pet per month. $500 non-refundable dog fee. 2 total pets maximum per unit. •$20 Monthly Pet Rent
•$500 Fee
•40 lb Weight Limit
•2 Pet Limit

",1.0,•$20 Monthly Pet Rent,•$500 Fee,4.2,17 Renter Reviews,500,20,736
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/park-square-washington-dc/953vhx7,Park Square,None,"

Dogs Allowed


•$20 Monthly Pet Rent
•$500 Fee
•40 lb Weight Limit
•2 Pet Limit

",0.5,•$20 Monthly Pet Rent,•$500 Fee,4.0,No Reviews,500,20,735
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/lanier-apartments-washington-dc/9vh2ez6,Lanier Apartments,One and half months free on select apartments! Call for details!,"

Dogs Allowed:


•Restrictions: Call for breed restrictions •$300 Fee
•50 lb Weight Limit
•2 Pet Limit

",0.0,,•$300 Fee,4.0,No Reviews,300,,0
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/connecticut-plaza-apartments-washington-dc/35p1rgf,Connecticut Plaza Apartments,Receive 2 Months Free Rent When You Sign a Lease by December 31st. (restrictions apply),"

Dogs and Cats Allowed:


•Restrictions: Breed restrictions apply. Please call our management office for more details. •Comments: Cats and Dogs Welcome! There will be an additional one-time fee of $200 for the second pet, if applicable. •$50 Monthly Pet Rent
•$250 Fee
•85 lb Weight Limit
•2 Pet Limit

",3.0,•$50 Monthly Pet Rent,•$250 Fee,4.0,40 Renter Reviews,250,50,875895
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/cathedral-mansions-washington-dc/zwwccmx,Cathedral Mansions,Up to 2 Months Free Plus Waived Deposit and Pet Fee,"

Dogs Allowed:


•Restrictions: Breed Restriction •$50 Monthly Pet Rent
•$500 Fee
•2 Pet Limit

",6.0,•$50 Monthly Pet Rent,•$500 Fee,4.0,1 Renter Reviews,500,50,827
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/corcoran-house-at-dupont-circle-washington-dc/pcjl68v,Corcoran House at Dupont Circle,"Up to 1 Month off on Select Apartments! Offer valid on new leases only. Onsite transfers excluded. or $500 off on move-in costs on select apartments! [Offer good thru Feb 15, 2021]","

Dogs and Cats Allowed:


•Restrictions: null •$65 Monthly Pet Rent
•3 Pet Limit

",2.0,•$65 Monthly Pet Rent,,4.0,No Reviews,,65,750
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/ravenel-washington-dc/evqw6lp,Ravenel,UP TO TWO MONTH'S FREE RENT!,"

Dogs and Cats Allowed:


•Restrictions: Weight Limit is 75 lbs. No Pit Bulls and Pit Bull mixes •Comments: Ravenel loves your pets! Each apartment may have up to two (2)  pets. Pet fees and pet rents may vary. Please speak to a leasing associate for more information. •2 Pet Limit

",0.0,,,4.0,7 Renter Reviews,,,0
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/1630-r-street-washington-dc/b77b759,1630 R Street,None,"

Dogs Allowed


•$50 Monthly Pet Rent
•$500 Fee
•50 lb Weight Limit
•2 Pet Limit

",2.0,•$50 Monthly Pet Rent,•$500 Fee,4.0,2 Renter Reviews,500,50,859
adams-morgan-columbia-heights,https://www.apartments.com/adams-morgan-columbia-heights-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 184,https://www.apartments.com/the-croydon-washington-dc/hh6rq30,The Croydon,None,"

Dogs Allowed


•$50 Monthly Pet Rent
•$350 Fee
•85 lb Weight Limit
•2 Pet Limit

",0.0,•$50 Monthly Pet Rent,•$350 Fee,4.0,2 Renter Reviews,350,50,0
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/watermark-at-buzzard-point-washington-dc/y9f54dr,Watermark at Buzzard Point,Lease today and receive up to 3 months free on select lease terms. Please contact our leasing office for details!,"

Dogs Allowed:


•Restrictions: We welcome two pets per apartment home. Pet rent is $50 per pet and there is a $500 pet fee per pet. There is no weight restriction, but certain breed restrictions will apply. Please call our leasing office for our complete pet policy. •$50 Monthly Pet Rent
•$500 - 1,000 Fee
•100 lb Weight Limit
•2 Pet Limit

",1.0,•$50 Monthly Pet Rent,"1,000 Fee",5.0,4 Renter Reviews,1000,50,717
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/blackbird-washington-dc/qq7jc4y,Blackbird,Move In Special,"

Dogs and Cats Allowed


•2 Pet Limit

",0.0,,,5.0,No Reviews,,,0
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/lex-and-leo-at-waterfront-station-washington-dc/g9fz3pw,Lex and Leo at Waterfront Station,"Two Months Free Plus Waived Deposit, Amenity Fee & Pet Fee","

Dogs Allowed:


•Restrictions: Breed Restrictions Apply •$50 Monthly Pet Rent
•$500 Fee
•2 Pet Limit

",2.0,•$50 Monthly Pet Rent,•$500 Fee,5.0,2 Renter Reviews,500,50,829864
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/valo-washington-dc/fvrk50r,Valo,"Lease Today to Move In Fee Just $99 1.5 Months Free! Terms and Conditions Apply, Call Today for Details!","

Dogs and Cats Allowed:


•Restrictions: We accept 2 pets per apartment home. Pet policy fee is $500 and $60 for monthly pert rent. Fido's ideal home in the city. Pet-friendly community with nearby trail and pampered pooch services. Kitty is welcome too! •$60 Monthly Pet Rent
•$500 Fee
•100 lb Weight Limit
•2 Pet Limit

",0.0,•$60 Monthly Pet Rent,•$500 Fee,4.8,21 Renter Reviews,500,60,0
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/parc-riverside-washington-dc/hn9l512,Parc Riverside,SPECIAL: Two Months Free Waived App Fee* *Valid 1/27/21 - 2/15/21. Restrictions apply; see a leasing consultant for details.,"

Dogs and Cats Allowed:


•Restrictions: Two pets allowed per apartment home. Breed, weight and pet restrictions may apply. Please call for more details •$50 Monthly Pet Rent
•$750 Fee
•2 Pet Limit

",18.0,•$50 Monthly Pet Rent,•$750 Fee,4.9,6 Renter Reviews,750,50,718
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/waterside-towers-washington-dc/y9zxkws,Waterside Towers,None,"

Dogs Allowed:


•Restrictions: Acceptable animals include domestic cats and dogs. Dogs that are purebreds or mixes of the following breeds are prohibited: Akita, Alaskan Malamute, Chow-Chow, Doberman, German Shepherd, Great Dane, Pit Bull (American Staffordshire Terrier, American Pit Bull Terrier, Staffordshire Bull Terrier), Rottweiler, Saint Bernard, Shar Pei, and Siberian Husky. All other animals including exotic pets are prohibited. All animals must be authorized by management. •$500 Fee
•2 Pet Limit

",26.0,,•$500 Fee,3.9,5 Renter Reviews,500,,800
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/crossing-washington-dc/rwzx0p3,Crossing,Lease today and receive up to two months free and a waived move-in fee valued at $600.*,"

Dogs and Cats Allowed


•Comments: Two pets maximum per apartment. The following breeds are restricted: German Shepherds, Akitas, Chow Terriers or Chow breed mixes, American Bull Staff or Staffordshire Terriers, Doberman/Doberman Pinchers, Rottweilers, Wolf dog hybrid, Pit Bull Ter... •2 Pet Limit

",0.0,,,5.0,No Reviews,,,0
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/capitol-yards-washington-dc/0xrcww3,Capitol Yards,Lease Today and Receive Waived Amenity Fees and Up To Two Months FREE Rent.* *Restrictions apply.,"

Dogs and Cats Allowed


•Comments: Dogs and Cats. $750 pet fee for two pets. •$50 Monthly Pet Rent
•$500 Fee
•70 lb Weight Limit
•2 Pet Limit

",0.0,•$50 Monthly Pet Rent,•$500 Fee,4.7,22 Renter Reviews,500,50,0
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/ore-82-washington-dc/endrtlp,ORE 82,None,"

Dogs Allowed:


•Restrictions: Pit Bull, Rottweiler, Doberman Pinscher •Comments: $400 pet fee •$50 Monthly Pet Rent
•$500 Fee
•75 lb Weight Limit
•2 Pet Limit

",19.0,•$50 Monthly Pet Rent,•$500 Fee,4.9,27 Renter Reviews,500,50,779
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/modern-on-m-washington-dc/v298csf,Modern on M,Move-in by March 1st and receive two months free! *Select apartments only and specific lease terms apply.,"

Dogs Allowed


•Comments: Aggressive breeds will not be allowed (see list below). RESTRICTED ANIMAL LIST (included, but not limited to) Breeds of Dogs: Pit Bull, Bull Terrier Rottweiler, Doberman Husky, Wolfdog Malamute, Dalmatian Chowchow St. Bernard, Great Dane Ak •100 lb Weight Limit
•2 Pet Limit

",0.0,,,4.6,22 Renter Reviews,,,0
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/1001-waterfront-washington-dc/bchw3l8,1001 @ Waterfront,None,"

Dogs and Cats Allowed


•$50 Monthly Pet Rent
•$350 Fee
•2 Pet Limit
•Must Be Spayed/Neutered

",10.0,•$50 Monthly Pet Rent,•$350 Fee,3.6,18 Renter Reviews,350,50,932
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/camden-south-capitol-washington-dc/rrjzp51,Camden South Capitol,"We're open by Appointment Only. Call 24 x 7 to schedule a live video, self-guided, or team member tour! Social distancing, face-coverings required.","

Dogs and Cats Allowed:


•Restrictions: We welcome cats and dogs, up to three pets per apartment, and a full-grown maximum weight limit of 100 pounds each. Breed restrictions apply. We do not permit American Pit Bull Terrier, American Staffordshire Terrier, Staffordshire Bull Terrier, any mix of the previous breeds, or any other dog or breed deemed aggressive. See management for pet approval and deposit and fee information. •$50 Monthly Pet Rent
•$500 Fee
•100 lb Weight Limit
•3 Pet Limit

",11.0,•$50 Monthly Pet Rent,•$500 Fee,5.0,4 Renter Reviews,500,50,791
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/the-bixby-washington-dc/2sybkcb,The Bixby,Up to 2 Months FREE Rent on Select Homes!* Restrictions Apply. Call for Details. EHO.,"

Dogs and Cats Allowed:


•Restrictions: Please call property for more information. •$500 Fee
•50 lb Weight Limit
•2 Pet Limit

",1.0,,•$500 Fee,3.6,8 Renter Reviews,500,,795
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/909-washington-dc/09etle3,909,"Move-in by February 15th to receive a $500 gift card and a waived $500 amenity fee, on select apartment homes.*","

Dogs and Cats Allowed


•2 Pet Limit

",20.0,,,4.8,27 Renter Reviews,,,993
southwest-navy-yard,https://www.apartments.com/southwest-navy-yard-washington-dc/under-2100-pet-friendly-dog/?sfmin=700&sfmax=1300, 159,https://www.apartments.com/eliot-on-4th-washington-dc/e4mgx1p,Eliot on 4th,Up to 2 Months of Rent-Free Living! Live 2-months rent-free! PLUS we'll waive your amenity fee and application fee (a $510 value)! Must move-in by February 28th. to qualify. Contact us for details.,"

Dogs and Cats Allowed


•$50 Monthly Pet Rent
•$500 Fee
•200 lb Weight Limit
•2 Pet Limit

",16.0,•$50 Monthly Pet Rent,•$500 Fee,4.6,39 Renter Reviews,500,50,817
